Node	Time	ActivationFactorID_UP_Reg
3	1	0
3	2	0
3	3	1
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	0
3	11	0
3	12	0
3	13	0
3	14	0
3	15	0
3	16	0
3	17	0
3	18	0
3	19	1
3	20	1
3	21	1
3	22	0
3	23	0
3	24	0
4	1	0
4	2	1
4	3	0
4	4	0
4	5	0
4	6	1
4	7	0
4	8	0
4	9	0
4	10	0
4	11	1
4	12	0
4	13	1
4	14	1
4	15	1
4	16	0
4	17	0
4	18	0
4	19	1
4	20	0
4	21	0
4	22	1
4	23	1
4	24	1
5	1	0
5	2	0
5	3	1
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	1
5	11	1
5	12	1
5	13	0
5	14	0
5	15	0
5	16	0
5	17	0
5	18	0
5	19	0
5	20	1
5	21	1
5	22	0
5	23	0
5	24	0
6	1	0
6	2	1
6	3	0
6	4	1
6	5	0
6	6	0
6	7	1
6	8	0
6	9	0
6	10	0
6	11	0
6	12	1
6	13	1
6	14	1
6	15	0
6	16	0
6	17	0
6	18	0
6	19	0
6	20	0
6	21	0
6	22	0
6	23	0
6	24	0
7	1	0
7	2	1
7	3	1
7	4	0
7	5	0
7	6	1
7	7	1
7	8	1
7	9	1
7	10	1
7	11	1
7	12	1
7	13	0
7	14	0
7	15	1
7	16	0
7	17	0
7	18	1
7	19	1
7	20	1
7	21	0
7	22	0
7	23	1
7	24	0
8	1	0
8	2	0
8	3	0
8	4	0
8	5	0
8	6	0
8	7	0
8	8	0
8	9	0
8	10	0
8	11	0
8	12	0
8	13	1
8	14	0
8	15	0
8	16	1
8	17	0
8	18	0
8	19	0
8	20	1
8	21	0
8	22	0
8	23	0
8	24	1
9	1	0
9	2	1
9	3	1
9	4	1
9	5	0
9	6	0
9	7	0
9	8	0
9	9	0
9	10	1
9	11	1
9	12	0
9	13	0
9	14	0
9	15	0
9	16	1
9	17	0
9	18	0
9	19	0
9	20	1
9	21	0
9	22	0
9	23	1
9	24	0
10	1	1
10	2	0
10	3	1
10	4	0
10	5	0
10	6	0
10	7	0
10	8	0
10	9	0
10	10	1
10	11	0
10	12	1
10	13	0
10	14	0
10	15	1
10	16	1
10	17	0
10	18	1
10	19	0
10	20	0
10	21	0
10	22	0
10	23	1
10	24	0
11	1	1
11	2	0
11	3	0
11	4	0
11	5	1
11	6	0
11	7	0
11	8	1
11	9	1
11	10	0
11	11	0
11	12	0
11	13	1
11	14	0
11	15	0
11	16	1
11	17	1
11	18	1
11	19	0
11	20	0
11	21	0
11	22	0
11	23	0
11	24	0
12	1	0
12	2	0
12	3	0
12	4	0
12	5	0
12	6	0
12	7	0
12	8	0
12	9	1
12	10	0
12	11	1
12	12	1
12	13	0
12	14	1
12	15	0
12	16	1
12	17	0
12	18	1
12	19	0
12	20	1
12	21	0
12	22	0
12	23	0
12	24	0
13	1	0
13	2	0
13	3	0
13	4	1
13	5	1
13	6	1
13	7	1
13	8	0
13	9	0
13	10	0
13	11	0
13	12	0
13	13	0
13	14	0
13	15	0
13	16	1
13	17	0
13	18	1
13	19	0
13	20	0
13	21	0
13	22	0
13	23	1
13	24	1
14	1	0
14	2	0
14	3	0
14	4	1
14	5	1
14	6	0
14	7	1
14	8	0
14	9	0
14	10	0
14	11	0
14	12	0
14	13	0
14	14	0
14	15	1
14	16	1
14	17	0
14	18	0
14	19	0
14	20	0
14	21	0
14	22	0
14	23	0
14	24	1
15	1	0
15	2	0
15	3	1
15	4	0
15	5	0
15	6	1
15	7	0
15	8	0
15	9	0
15	10	0
15	11	0
15	12	0
15	13	1
15	14	0
15	15	0
15	16	0
15	17	1
15	18	0
15	19	0
15	20	0
15	21	1
15	22	1
15	23	0
15	24	1
16	1	0
16	2	1
16	3	0
16	4	0
16	5	1
16	6	0
16	7	0
