Node	Time	ID_Capacity_Buy_Volume
1	1	10.2
1	2	42.5
1	3	50.0
1	4	44.6
1	5	32.9
1	6	5.0
1	7	8.8
1	8	31.8
1	9	20.9
1	10	2.0
1	11	0.0
1	12	9.1
1	13	14.6
1	14	31.2
1	15	25.3
1	16	16.0
1	17	45.7
1	18	12.4
1	19	46.0
1	20	9.5
1	21	0.5
1	22	4.2
1	23	27.9
1	24	56.5
2	1	10.2
2	2	42.5
2	3	50.0
2	4	44.6
2	5	32.9
2	6	5.0
2	7	8.8
2	8	31.8
2	9	20.9
2	10	2.0
2	11	0.0
2	12	9.1
2	13	14.6
2	14	31.2
2	15	25.3
2	16	16.0
2	17	45.7
2	18	12.4
2	19	46.0
2	20	9.5
2	21	0.5
2	22	4.2
2	23	27.9
2	24	56.5
3	1	0.4
3	2	15.0
3	3	23.2
3	4	12.1
3	5	54.2
3	6	61.1
3	7	75.5
3	8	20.7
3	9	0.3
3	10	10.8
3	11	28.0
3	12	67.2
3	13	33.4
3	14	0.0
3	15	11.2
3	16	0.0
3	17	166.6
3	18	75.8
3	19	4.5
3	20	0.0
3	21	0.0
3	22	0.0
3	23	6.9
3	24	13.3
4	1	10.2
4	2	42.5
4	3	50.0
4	4	44.6
4	5	32.9
4	6	5.0
4	7	8.8
4	8	31.8
4	9	20.9
4	10	2.0
4	11	0.0
4	12	9.1
4	13	14.6
4	14	31.2
4	15	25.3
4	16	16.0
4	17	45.7
4	18	12.4
4	19	46.0
4	20	9.5
4	21	0.5
4	22	4.2
4	23	27.9
4	24	56.5
5	1	0.0
5	2	0.0
5	3	0.0
5	4	0.0
5	5	0.0
5	6	0.0
5	7	0.0
5	8	0.0
5	9	0.0
5	10	0.1
5	11	16.9
5	12	4.4
5	13	1.7
5	14	5.0
5	15	2.1
5	16	10.5
5	17	12.3
5	18	4.6
5	19	17.8
5	20	11.5
5	21	5.5
5	22	16.9
5	23	14.6
5	24	11.0
6	1	21.7
6	2	13.6
6	3	18.7
6	4	32.9
6	5	9.1
6	6	19.8
6	7	7.0
6	8	0.0
6	9	37.3
6	10	47.4
6	11	37.0
6	12	7.3
6	13	2.4
6	14	9.9
6	15	5.5
6	16	41.2
6	17	76.6
6	18	4.1
6	19	10.2
6	20	10.1
6	21	9.9
6	22	7.8
6	23	20.4
6	24	21.4
7	1	6.4
7	2	2.2
7	3	0.0
7	4	0.0
7	5	0.0
7	6	0.0
7	7	1.9
7	8	56.7
7	9	41.1
7	10	42.8
7	11	247.2
7	12	36.3
7	13	88.8
7	14	23.7
7	15	113.5
7	16	455.4
7	17	144.6
7	18	130.0
7	19	65.1
7	20	95.4
7	21	59.1
7	22	67.1
7	23	88.8
7	24	107.0
8	1	0.0
8	2	5.0
8	3	2.0
8	4	0.0
8	5	2.1
8	6	7.3
8	7	17.3
8	8	7.4
8	9	6.4
8	10	25.8
8	11	12.3
8	12	33.8
8	13	12.8
8	14	92.7
8	15	211.7
8	16	113.2
8	17	78.7
8	18	74.8
8	19	65.6
8	20	73.9
8	21	47.9
8	22	84.6
8	23	32.7
8	24	30.3
9	1	0.0
9	2	5.0
9	3	2.0
9	4	0.0
9	5	2.1
9	6	7.3
9	7	17.3
9	8	7.4
9	9	6.4
9	10	25.8
9	11	12.3
9	12	33.8
9	13	12.8
9	14	92.7
9	15	211.7
