Node	Time	Technology	Cost
3	1	Power_Grid	0.0
3	2	Power_Grid	0.0
3	3	Power_Grid	0.0
3	4	Power_Grid	0.0
3	5	Power_Grid	0.0
3	6	Power_Grid	0.0
3	7	Power_Grid	0.0
3	8	Power_Grid	0.0
3	9	Power_Grid	0.0
3	10	Power_Grid	0.0
3	11	Power_Grid	0.0
3	12	Power_Grid	0.0
3	13	Power_Grid	0.0
3	14	Power_Grid	0.0
3	15	Power_Grid	0.0
3	16	Power_Grid	0.0
3	17	Power_Grid	0.0
3	18	Power_Grid	0.0
3	19	Power_Grid	0.0
3	20	Power_Grid	0.0
3	21	Power_Grid	0.0
3	22	Power_Grid	0.0
3	23	Power_Grid	0.0
3	24	Power_Grid	0.0
3	1	ElectricBoiler	0.0
3	2	ElectricBoiler	0.0
3	3	ElectricBoiler	0.0
3	4	ElectricBoiler	0.0
3	5	ElectricBoiler	0.0
3	6	ElectricBoiler	0.0
3	7	ElectricBoiler	0.0
3	8	ElectricBoiler	0.0
3	9	ElectricBoiler	0.0
3	10	ElectricBoiler	0.0
3	11	ElectricBoiler	0.0
3	12	ElectricBoiler	0.0
3	13	ElectricBoiler	0.0
3	14	ElectricBoiler	0.0
3	15	ElectricBoiler	0.0
3	16	ElectricBoiler	0.0
3	17	ElectricBoiler	0.0
3	18	ElectricBoiler	0.0
3	19	ElectricBoiler	0.0
3	20	ElectricBoiler	0.0
3	21	ElectricBoiler	0.0
3	22	ElectricBoiler	0.0
3	23	ElectricBoiler	0.0
3	24	ElectricBoiler	0.0
3	1	HP_LT	0.0
3	2	HP_LT	0.0
3	3	HP_LT	0.0
3	4	HP_LT	0.0
3	5	HP_LT	0.0
3	6	HP_LT	0.0
3	7	HP_LT	0.0
3	8	HP_LT	0.0
3	9	HP_LT	0.0
3	10	HP_LT	0.0
3	11	HP_LT	0.0
3	12	HP_LT	0.0
3	13	HP_LT	0.0
3	14	HP_LT	0.0
3	15	HP_LT	0.0
3	16	HP_LT	0.0
3	17	HP_LT	0.0
3	18	HP_LT	0.0
3	19	HP_LT	0.0
3	20	HP_LT	0.0
3	21	HP_LT	0.0
3	22	HP_LT	0.0
3	23	HP_LT	0.0
3	24	HP_LT	0.0
3	1	HP_MT	0.0
3	2	HP_MT	0.0
3	3	HP_MT	0.0
3	4	HP_MT	0.0
3	5	HP_MT	0.0
3	6	HP_MT	0.0
3	7	HP_MT	0.0
3	8	HP_MT	0.0
3	9	HP_MT	0.0
3	10	HP_MT	0.0
3	11	HP_MT	0.0
3	12	HP_MT	0.0
3	13	HP_MT	0.0
3	14	HP_MT	0.0
3	15	HP_MT	0.0
3	16	HP_MT	0.0
3	17	HP_MT	0.0
3	18	HP_MT	0.0
3	19	HP_MT	0.0
3	20	HP_MT	0.0
3	21	HP_MT	0.0
3	22	HP_MT	0.0
3	23	HP_MT	0.0
3	24	HP_MT	0.0
3	1	PV	0.0
3	2	PV	0.0
3	3	PV	0.0
3	4	PV	0.0
3	5	PV	0.0
3	6	PV	0.0
3	7	PV	0.0
3	8	PV	0.0
3	9	PV	0.0
3	10	PV	0.0
3	11	PV	0.0
3	12	PV	0.0
3	13	PV	0.0
3	14	PV	0.0
3	15	PV	0.0
3	16	PV	0.0
3	17	PV	0.0
3	18	PV	0.0
3	19	PV	0.0
3	20	PV	0.0
3	21	PV	0.0
3	22	PV	0.0
3	23	PV	0.0
