Node	Time	ActivationFactorDwnRegulation
3	1	0
4	1	1
3	2	0
4	2	1
3	3	1
4	3	0
3	4	1
4	4	0
3	5	0
4	5	1
3	6	0
4	6	1
3	7	1
4	7	0
3	8	1
4	8	0
3	9	1
4	9	0
3	10	0
4	10	1
3	11	0
4	11	1
3	12	1
4	12	0
3	13	1
4	13	0
3	14	0
4	14	1
3	15	1
4	15	0
3	16	1
4	16	0
3	17	1
4	17	0
3	18	0
4	18	1
3	19	1
4	19	0
3	20	0
4	20	1
3	21	1
4	21	0
3	22	1
4	22	0
3	23	1
4	23	0
3	24	0
4	24	1
5	1	1
6	1	0
5	2	1
6	2	0
5	3	0
6	3	1
5	4	0
6	4	1
5	5	0
6	5	1
5	6	1
6	6	0
5	7	0
6	7	1
5	8	0
6	8	1
5	9	1
6	9	0
5	10	1
6	10	0
5	11	1
6	11	0
5	12	1
6	12	0
5	13	1
6	13	0
5	14	1
6	14	0
5	15	0
6	15	1
5	16	1
6	16	0
5	17	1
6	17	0
5	18	1
6	18	0
5	19	1
6	19	0
5	20	1
6	20	0
5	21	1
6	21	0
5	22	1
6	22	0
5	23	1
6	23	0
5	24	0
6	24	1
7	1	1
8	1	0
7	2	0
8	2	1
7	3	0
8	3	1
7	4	1
8	4	0
7	5	1
8	5	0
7	6	0
8	6	1
7	7	1
8	7	0
7	8	1
8	8	0
7	9	0
8	9	1
7	10	0
8	10	1
7	11	0
8	11	1
7	12	0
8	12	1
7	13	1
8	13	0
7	14	1
8	14	0
7	15	1
8	15	0
7	16	1
8	16	0
7	17	0
8	17	1
7	18	0
8	18	1
7	19	0
8	19	1
7	20	1
8	20	0
7	21	0
8	21	1
7	22	1
8	22	0
7	23	1
8	23	0
7	24	0
8	24	1
9	1	0
10	1	1
9	2	0
10	2	1
9	3	1
10	3	0
9	4	0
10	4	1
9	5	0
10	5	1
9	6	0
10	6	1
9	7	1
10	7	0
9	8	1
10	8	0
9	9	1
10	9	0
9	10	0
10	10	1
9	11	0
10	11	1
9	12	0
10	12	1
9	13	1
10	13	0
9	14	1
10	14	0
9	15	1
10	15	0
9	16	0
10	16	1
9	17	0
10	17	1
9	18	0
10	18	1
9	19	1
10	19	0
9	20	0
10	20	1
9	21	0
10	21	1
9	22	1
10	22	0
9	23	0
10	23	1
9	24	1
10	24	0
11	1	1
12	1	0
11	2	1
12	2	0
11	3	0
12	3	1
11	4	1
12	4	0
11	5	1
12	5	0
11	6	0
12	6	1
11	7	0
12	7	1
11	8	1
12	8	0
11	9	1
12	9	0
11	10	1
12	10	0
11	11	1
12	11	0
11	12	1
12	12	0
11	13	1
12	13	0
11	14	0
12	14	1
11	15	1
12	15	0
11	16	0
12	16	1
11	17	1
12	17	0
11	18	1
12	18	0
11	19	1
12	19	0
11	20	1
12	20	0
11	21	0
12	21	1
11	22	1
12	22	0
11	23	0
12	23	1
11	24	0
12	24	1
13	1	0
14	1	1
13	2	1
14	2	0
13	3	0
14	3	1
13	4	1
14	4	0
13	5	1
14	5	0
13	6	0
14	6	1
13	7	0
14	7	1
13	8	0
14	8	1
13	9	0
14	9	1
13	10	0
14	10	1
13	11	0
14	11	1
13	12	0
14	12	1
13	13	1
14	13	0
13	14	0
14	14	1
13	15	0
14	15	1
13	16	1
14	16	0
13	17	0
14	17	1
13	18	0
14	18	1
13	19	0
14	19	1
13	20	1
14	20	0
13	21	0
14	21	1
13	22	1
14	22	0
13	23	1
14	23	0
13	24	0
14	24	1
