Node	Time	ActivationFactorDwnRegulation
3	1	0
4	1	1
3	2	1
4	2	0
3	3	1
4	3	0
3	4	0
4	4	1
3	5	0
4	5	1
3	6	0
4	6	1
3	7	1
4	7	0
3	8	0
4	8	1
3	9	1
4	9	0
3	10	1
4	10	0
3	11	0
4	11	1
3	12	0
4	12	1
3	13	1
4	13	0
3	14	1
4	14	0
3	15	0
4	15	1
3	16	0
4	16	1
3	17	0
4	17	1
3	18	1
4	18	0
3	19	1
4	19	0
3	20	0
4	20	1
3	21	0
4	21	1
3	22	1
4	22	0
3	23	0
4	23	1
3	24	1
4	24	0
5	1	0
6	1	1
5	2	0
6	2	1
5	3	1
6	3	0
5	4	0
6	4	1
5	5	1
6	5	0
5	6	1
6	6	0
5	7	1
6	7	0
5	8	1
6	8	0
5	9	0
6	9	1
5	10	1
6	10	0
5	11	0
6	11	1
5	12	0
6	12	1
5	13	0
6	13	1
5	14	0
6	14	1
5	15	0
6	15	1
5	16	0
6	16	1
5	17	0
6	17	1
5	18	0
6	18	1
5	19	0
6	19	1
5	20	1
6	20	0
5	21	1
6	21	0
5	22	0
6	22	1
5	23	0
6	23	1
5	24	1
6	24	0
7	1	1
8	1	0
7	2	1
8	2	0
7	3	0
8	3	1
7	4	1
8	4	0
7	5	0
8	5	1
7	6	1
8	6	0
7	7	0
8	7	1
7	8	1
8	8	0
7	9	1
8	9	0
7	10	0
8	10	1
7	11	1
8	11	0
7	12	0
8	12	1
7	13	0
8	13	1
7	14	1
8	14	0
7	15	0
8	15	1
7	16	0
8	16	1
7	17	1
8	17	0
7	18	0
8	18	1
7	19	0
8	19	1
7	20	0
8	20	1
7	21	1
8	21	0
7	22	1
8	22	0
7	23	1
8	23	0
7	24	0
8	24	1
9	1	0
10	1	1
9	2	1
10	2	0
9	3	1
10	3	0
9	4	0
10	4	1
9	5	0
10	5	1
9	6	0
10	6	1
9	7	0
10	7	1
9	8	1
10	8	0
9	9	1
10	9	0
9	10	1
10	10	0
9	11	0
10	11	1
9	12	0
10	12	1
9	13	1
10	13	0
9	14	1
10	14	0
9	15	1
10	15	0
9	16	1
10	16	0
9	17	0
10	17	1
9	18	0
10	18	1
9	19	0
10	19	1
9	20	0
10	20	1
9	21	0
10	21	1
9	22	1
10	22	0
9	23	0
10	23	1
9	24	1
10	24	0
11	1	0
12	1	1
11	2	1
12	2	0
11	3	1
12	3	0
11	4	1
12	4	0
11	5	0
12	5	1
11	6	1
12	6	0
11	7	0
12	7	1
11	8	0
12	8	1
11	9	1
12	9	0
11	10	0
12	10	1
11	11	1
12	11	0
11	12	1
12	12	0
11	13	1
12	13	0
11	14	0
12	14	1
11	15	1
12	15	0
11	16	0
12	16	1
11	17	1
12	17	0
11	18	0
12	18	1
11	19	0
12	19	1
11	20	1
12	20	0
11	21	1
12	21	0
11	22	1
12	22	0
11	23	0
12	23	1
11	24	0
12	24	1
13	1	0
14	1	1
13	2	1
14	2	0
13	3	0
14	3	1
13	4	0
14	4	1
13	5	1
14	5	0
13	6	0
14	6	1
13	7	1
14	7	0
13	8	0
14	8	1
13	9	1
14	9	0
13	10	0
14	10	1
13	11	1
14	11	0
13	12	1
14	12	0
13	13	0
14	13	1
13	14	1
14	14	0
13	15	0
14	15	1
13	16	1
14	16	0
13	17	0
14	17	1
13	18	1
14	18	0
13	19	0
14	19	1
13	20	0
14	20	1
13	21	0
14	21	1
13	22	0
14	22	1
13	23	0
14	23	1
13	24	0
14	24	1
