Node	Time	ActivationFactorDwnRegulation
5	1	0
5	2	0
5	3	0
5	4	0
5	5	1
5	6	0
5	7	0
5	8	0
5	9	1
5	10	0
5	11	1
5	12	0
5	13	1
5	14	1
5	15	1
5	16	0
5	17	1
5	18	1
5	19	1
5	20	0
5	21	1
5	22	1
5	23	1
5	24	1
6	1	0
6	2	1
6	3	1
6	4	0
6	5	0
6	6	0
6	7	0
6	8	1
6	9	0
6	10	1
6	11	0
6	12	1
6	13	1
6	14	0
6	15	1
6	16	0
6	17	0
6	18	0
6	19	0
6	20	0
6	21	0
6	22	0
6	23	1
6	24	0
7	1	0
7	2	0
7	3	0
7	4	0
7	5	1
7	6	1
7	7	0
7	8	0
7	9	1
7	10	1
7	11	1
7	12	0
7	13	1
7	14	0
7	15	1
7	16	1
7	17	1
7	18	1
7	19	0
7	20	0
7	21	0
7	22	0
7	23	1
7	24	0
8	1	1
8	2	1
8	3	1
8	4	0
8	5	0
8	6	0
8	7	1
8	8	0
8	9	0
8	10	0
8	11	1
8	12	0
8	13	0
8	14	0
8	15	1
8	16	1
8	17	0
8	18	1
8	19	0
8	20	1
8	21	0
8	22	1
8	23	0
8	24	1
9	1	1
9	2	1
9	3	1
9	4	0
9	5	1
9	6	0
9	7	0
9	8	1
9	9	1
9	10	1
9	11	0
9	12	0
9	13	0
9	14	1
9	15	0
9	16	0
9	17	0
9	18	0
9	19	1
9	20	1
9	21	0
9	22	1
9	23	0
9	24	0
10	1	1
10	2	1
10	3	0
10	4	0
10	5	0
10	6	0
10	7	1
10	8	1
10	9	1
10	10	0
10	11	0
10	12	1
10	13	1
10	14	0
10	15	1
10	16	0
10	17	0
10	18	1
10	19	0
10	20	0
10	21	0
10	22	1
10	23	1
10	24	1
11	1	0
11	2	0
11	3	0
11	4	1
11	5	1
11	6	0
11	7	0
11	8	1
11	9	0
11	10	0
11	11	0
11	12	0
11	13	1
11	14	0
11	15	1
11	16	0
11	17	1
11	18	0
11	19	0
11	20	0
11	21	1
11	22	1
11	23	0
11	24	0
12	1	1
12	2	1
12	3	0
12	4	1
12	5	1
12	6	0
12	7	1
12	8	1
12	9	1
12	10	1
12	11	0
12	12	1
12	13	1
12	14	0
12	15	0
12	16	0
12	17	0
12	18	1
12	19	0
12	20	0
12	21	0
12	22	1
12	23	0
12	24	0
13	1	0
13	2	0
13	3	0
13	4	1
13	5	0
13	6	1
13	7	0
13	8	0
13	9	0
13	10	1
13	11	1
13	12	0
13	13	0
13	14	0
13	15	1
13	16	0
13	17	1
13	18	0
13	19	1
13	20	0
13	21	0
13	22	0
13	23	1
13	24	0
14	1	0
14	2	0
14	3	1
14	4	0
14	5	1
14	6	0
14	7	0
14	8	0
14	9	0
14	10	0
14	11	0
14	12	0
14	13	0
14	14	1
14	15	1
14	16	1
14	17	0
14	18	0
14	19	0
14	20	0
14	21	0
14	22	0
14	23	0
14	24	0
15	1	0
15	2	0
15	3	0
15	4	0
15	5	0
15	6	0
15	7	1
15	8	0
15	9	0
15	10	0
15	11	0
15	12	1
15	13	0
15	14	1
15	15	0
15	16	1
15	17	0
15	18	0
15	19	1
15	20	1
15	21	0
15	22	1
15	23	0
15	24	1
16	1	0
16	2	0
16	3	0
16	4	1
16	5	0
16	6	0
16	7	1
16	8	0
16	9	0
16	10	0
16	11	1
16	12	0
16	13	1
16	14	1
16	15	0
16	16	1
16	17	1
16	18	1
16	19	1
16	20	0
16	21	0
16	22	1
16	23	0
16	24	0
17	1	0
17	2	1
17	3	0
17	4	0
17	5	0
17	6	0
17	7	1
17	8	1
17	9	0
17	10	1
17	11	0
17	12	1
17	13	1
17	14	1
17	15	0
17	16	0
17	17	0
17	18	1
17	19	1
17	20	0
17	21	1
17	22	1
17	23	0
17	24	1
18	1	0
18	2	0
18	3	0
18	4	0
18	5	0
18	6	0
18	7	1
18	8	0
18	9	0
18	10	0
18	11	1
18	12	0
18	13	0
18	14	0
18	15	1
18	16	1
18	17	0
18	18	1
18	19	1
18	20	1
18	21	0
18	22	0
18	23	1
18	24	0
19	1	1
19	2	0
19	3	1
19	4	1
19	5	0
19	6	0
19	7	0
19	8	0
19	9	0
19	10	0
19	11	0
19	12	0
19	13	1
19	14	1
19	15	1
19	16	0
19	17	1
19	18	0
19	19	0
19	20	1
19	21	1
19	22	0
19	23	1
19	24	0
20	1	1
20	2	1
20	3	0
20	4	0
20	5	1
20	6	0
20	7	0
20	8	1
20	9	0
20	10	1
20	11	0
20	12	1
20	13	1
20	14	0
20	15	0
20	16	1
20	17	0
20	18	0
20	19	0
20	20	1
20	21	1
20	22	1
20	23	1
20	24	0
21	1	0
21	2	0
21	3	0
21	4	0
21	5	0
